水溜りボンドの日常 , HikakinTV
てんちむCH/ tenchim , ラファエル Raphael
AHATO , 実況者ねが本拠地
Elizabeth Khan , Saiki No Psi Fan
たくっち , ぽこにゃん
ぐっちの部屋(ミラクルぐっち) , ゴウキゲームズ /Gouki GAMES
ぐっちの部屋(ミラクルぐっち) , おまめサンシローTV
おかりん /OkarinGames , ミナミノツドイ
サウザー【スマブラ帝王学】 , Gamers Channel EX / ゲーマーズチャンネルEX
たくっち , バカモシカ
水溜りボンドの日常 , 東海オンエアの控え室
キチガイピーポー　黒川編突入 , 1GAME TV パチンコパチスロ実践動画
AHATO , 畜家
ぴくとはうす , ぽこにゃん
サウザー【スマブラ帝王学】 , ライバロリ
東海オンエア , Fischer's-フィッシャーズ-
Fischer's-フィッシャーズ- , ヒカル（Hikaru）
牛沢 , アブ -abu-
Coko3TA , さよドラ
ぽこにゃん , AHATO
水溜りボンドの日常 , 水溜りボンド
キチガイピーポー　黒川編突入 , AbemaTV公式 YouTube
畜家 , Canhel@ゲーム実況局
コロコロチャンネル【公式】 , 妖怪ウォッチ専門チャンネル
AGARUTV（アガるTV） , Alvin Shavonne
ゆらりママchannel , Pencilmation
トムの実況チャンネル , ぺいんとチャンネルゥ
HikakinGames , ぺいんとチャンネルゥ
PINOY LIKES , ftwdoc.txt
コロコロチャンネル【公式】 , タカラトミー TAKARATOMY
Canhel@ゲーム実況局 , AHATO
あまり驚かないガッチマンはホラーゲームばかりやっている , 牛沢
いおりくんTV（IORIKUN TV） , Aaron Esser
Nintendo 公式チャンネル , iwabi74
HikakinGames , Fate Games
兄者弟者 , PINOY LIKES
えとなch , Ch裏切りマンキーコング
水溜りボンド , 東海オンエア
Coko3TA , ふぇいたん
ぽこにゃん , ゴウキ/Gouki BOOK
おるたなChannel , /谷やん谷崎鷹人
ぺいんとチャンネルゥ , love movie ch
Nintendo 公式チャンネル , もっと知りたいワダイ.
兄者弟者 , grapecompany
TOMIKKU NET , Kute Cats
ふぇいたん , 芝刈り機〆瀧
ゆらりママchannel , プリンセス姫スイートＴＶ Princess Hime Suite TV
つるなか , 攻略模索隊
ぺいんとチャンネルゥ , ゆきや
Vincent Grijalva , 0ken0ken0 channel
兄者弟者 , 桜鷹虎
あまり驚かないガッチマンはホラーゲームばかりやっている , フジ工房
Red Arcade , Lachlan
Nintendo 公式チャンネル , サウザー【スマブラ帝王学】
BOXING ch , Norton Teacher
おかりん /OkarinGames , Elizabeth Khan
ホワイトキュレム , Lucy Defi
ラバーガール Official YouTube Channel , Molly Ferguson
ラファエル Raphael , スロパチステーション
あまり驚かないガッチマンはホラーゲームばかりやっている , killinghope818
ラファエル Raphael , ヒカル（Hikaru）
NoRqNeko【のらねこ】 , ぷよ王子
キヨ。 , HikakinTV
Fischer's-セカンダリ- , はじめしゃちょー（hajime）
Canhel@ゲーム実況局 , ポンカメ
ふぇいたん , Coko3TA
ぺいんとチャンネルゥ , ぴくとはうす
あまり驚かないガッチマンはホラーゲームばかりやっている , ブライトサイド | Bright Side Japan
うごくちゃん , コメント付き動画おもしろ動画ファンクラブ
トムの実況チャンネル , しょうじ
水溜りボンド , Fischer's-フィッシャーズ-
ぐっちの部屋(ミラクルぐっち) , Fischer's-フィッシャーズ-
AHATO , 主チャンネル/ゆっくり実況・ゆっくり茶番
HikakinGames , Fischer's-セカンダリ-
Fischer's-セカンダリ- , HikakinGames
牛沢 , キヨ。
あまり驚かないガッチマンはホラーゲームばかりやっている , ポッキー / PockySweets
畜家 , たくっち
HikakinGames , ぐっちの部屋(ミラクルぐっち)
ユイの研究室# , 考察ジャンピング
ゆきや , さかなgame＆何か
ぽこにゃん , ぴくとはうす
テレペガ/TVPegachan , Canhel@ゲーム実況局
ぴよちゃれ!ろこ/キジ彦 , 池ちゃんネルズミラクル
AGARUTV（アガるTV） , 佐川真由美
コレコレチャンネル KoreTube , TOMIKKU NET
てんちむCH/ tenchim , AGARUTV（アガるTV）
ぐっちの部屋(ミラクルぐっち) , ふうはや
牛沢 , grapecompany
畜家 , てきとう太郎
MaGiCiAn 1610 , イルナイスト
MaGiCiAn 1610 , 沖柿
水溜りボンドの日常 , パオパオチャンネル
おかりん /OkarinGames , えとなch
ぐっちの部屋(ミラクルぐっち) , こうじょうちょー
コレコレチャンネル KoreTube , Coko3TA
Nintendo 公式チャンネル , ユイの研究室#
